Hero,Tier,Win Rate,WR Change,Pick Rate,PR Change,Ban Rate,Matches,Rank,Season
Mantis,S,54.65%,N/A,42.99%,N/A,3.50%,"246,030",All Ranks,season0
Peni Parker,A,53.90%,N/A,22.24%,N/A,1.03%,"127,291",All Ranks,season0
Magik,B,53.74%,N/A,13.97%,N/A,1.26%,"79,929",All Ranks,season0
Adam Warlock,B,53.47%,N/A,15.51%,N/A,0.32%,"88,788",All Ranks,season0
Hela,S,52.76%,N/A,20.82%,N/A,47.47%,"119,167",All Ranks,season0
Rocket Raccoon,B,52.69%,N/A,22.21%,N/A,0.17%,"127,096",All Ranks,season0
Hulk,A,52.66%,N/A,15.01%,N/A,44.61%,"85,894",All Ranks,season0
Loki,B,52.45%,N/A,19.10%,N/A,0.46%,"109,322",All Ranks,season0
Black Panther,B,52.33%,N/A,12.57%,N/A,7.95%,"71,953",All Ranks,season0
Thor,B,51.88%,N/A,17.05%,N/A,0.16%,"97,567",All Ranks,season0
Doctor Strange,S,51.50%,N/A,44.00%,N/A,3.70%,"251,788",All Ranks,season0
Iron Man,B,51.28%,N/A,15.28%,N/A,1.97%,"87,431",All Ranks,season0
Psylocke,B,51.15%,N/A,23.03%,N/A,2.40%,"131,807",All Ranks,season0
Storm,B,50.79%,N/A,3.58%,N/A,0.25%,"20,461",All Ranks,season0
Captain America,B,50.68%,N/A,6.96%,N/A,0.10%,"39,816",All Ranks,season0
Namor,B,50.59%,N/A,19.27%,N/A,1.65%,"110,283",All Ranks,season0
Iron Fist,B,50.57%,N/A,6.55%,N/A,0.38%,"37,464",All Ranks,season0
Wolverine,B,50.07%,N/A,10.21%,N/A,2.12%,"58,425",All Ranks,season0
Star Lord,B,49.97%,N/A,17.00%,N/A,0.64%,"97,291",All Ranks,season0
Luna Snow,S,49.83%,N/A,41.65%,N/A,25.59%,"238,367",All Ranks,season0
Groot,B,49.48%,N/A,19.16%,N/A,0.46%,"109,665",All Ranks,season0
Magneto,B,49.12%,N/A,21.05%,N/A,0.23%,"120,444",All Ranks,season0
Spider Man,B,48.75%,N/A,12.06%,N/A,0.92%,"69,028",All Ranks,season0
Hawkeye,B,48.40%,N/A,12.26%,N/A,50.80%,"70,177",All Ranks,season0
The Punisher,B,47.29%,N/A,19.54%,N/A,0.35%,"111,801",All Ranks,season0
Venom,C,47.25%,N/A,14.04%,N/A,0.11%,"80,333",All Ranks,season0
Scarlet Witch,C,47.23%,N/A,9.34%,N/A,0.09%,"53,466",All Ranks,season0
Winter Soldier,B,46.69%,N/A,17.82%,N/A,0.31%,"101,982",All Ranks,season0
Cloak & Dagger,B,46.41%,N/A,42.47%,N/A,0.19%,"243,050",All Ranks,season0
Squirrel Girl,C,45.99%,N/A,7.12%,N/A,0.14%,"40,740",All Ranks,season0
Moon Knight,C,45.42%,N/A,18.09%,N/A,0.23%,"103,539",All Ranks,season0
Jeff The Land Shark,C,43.18%,N/A,15.12%,N/A,0.25%,"86,523",All Ranks,season0
Black Widow,D,41.50%,N/A,2.93%,N/A,0.18%,"16,785",All Ranks,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,All Ranks,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,All Ranks,season0
Mantis,S,55.63%,N/A,34.31%,N/A,0.00%,"74,322",Bronze,season0
Peni Parker,A,53.47%,N/A,19.98%,N/A,0.00%,"43,283",Bronze,season0
Adam Warlock,A,52.99%,N/A,17.67%,N/A,0.00%,"38,280",Bronze,season0
Thor,A,51.96%,N/A,15.96%,N/A,0.00%,"34,579",Bronze,season0
Rocket Raccoon,A,51.60%,N/A,20.66%,N/A,0.00%,"44,756",Bronze,season0
Hulk,B,51.46%,N/A,14.66%,N/A,0.00%,"31,763",Bronze,season0
Hela,A,51.39%,N/A,17.67%,N/A,0.00%,"38,286",Bronze,season0
Magik,A,51.34%,N/A,17.64%,N/A,0.00%,"38,220",Bronze,season0
Loki,A,51.11%,N/A,20.71%,N/A,0.00%,"44,874",Bronze,season0
Captain America,B,50.97%,N/A,10.15%,N/A,0.00%,"21,983",Bronze,season0
Namor,B,50.61%,N/A,14.66%,N/A,0.00%,"31,769",Bronze,season0
Storm,C,50.08%,N/A,5.62%,N/A,0.00%,"12,176",Bronze,season0
Doctor Strange,A,50.06%,N/A,23.04%,N/A,0.00%,"49,911",Bronze,season0
Black Panther,B,49.45%,N/A,14.89%,N/A,0.00%,"32,254",Bronze,season0
Magneto,B,49.37%,N/A,14.35%,N/A,0.00%,"31,086",Bronze,season0
Psylocke,B,49.10%,N/A,21.23%,N/A,0.00%,"46,001",Bronze,season0
Iron Fist,B,49.08%,N/A,10.37%,N/A,0.00%,"22,459",Bronze,season0
Iron Man,B,48.88%,N/A,18.37%,N/A,0.00%,"39,804",Bronze,season0
Luna Snow,A,48.63%,N/A,32.75%,N/A,0.00%,"70,958",Bronze,season0
Groot,B,48.45%,N/A,13.97%,N/A,0.00%,"30,265",Bronze,season0
Star Lord,B,48.14%,N/A,17.95%,N/A,0.00%,"38,894",Bronze,season0
Spider Man,B,47.75%,N/A,19.39%,N/A,0.00%,"42,017",Bronze,season0
Venom,B,47.68%,N/A,17.12%,N/A,0.00%,"37,094",Bronze,season0
Wolverine,C,47.63%,N/A,12.45%,N/A,0.00%,"26,973",Bronze,season0
Cloak & Dagger,A,47.60%,N/A,38.07%,N/A,0.00%,"82,470",Bronze,season0
Scarlet Witch,B,47.52%,N/A,15.01%,N/A,0.00%,"32,515",Bronze,season0
Squirrel Girl,C,46.12%,N/A,11.02%,N/A,0.00%,"23,870",Bronze,season0
Hawkeye,C,46.03%,N/A,15.32%,N/A,0.00%,"33,198",Bronze,season0
Winter Soldier,B,45.63%,N/A,19.38%,N/A,0.00%,"41,980",Bronze,season0
The Punisher,C,45.45%,N/A,18.75%,N/A,0.00%,"40,620",Bronze,season0
Moon Knight,B,45.36%,N/A,22.00%,N/A,0.00%,"47,664",Bronze,season0
Jeff The Land Shark,C,42.26%,N/A,22.35%,N/A,0.00%,"48,416",Bronze,season0
Black Widow,D,41.22%,N/A,5.93%,N/A,0.00%,"12,837",Bronze,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Bronze,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Bronze,season0
