Team,Tier,Win Rate,Pick Rate,Matches,Rank,Season
"Adam Warlock, Star Lord, Mantis",S,63.82%,12.79%,"8,440",All Ranks,season0
"Hela, Loki, Thor",S,62.26%,7.82%,"5,161",All Ranks,season0
"Doctor Strange, Hulk, Iron Man",S,58.62%,18.50%,"12,209",All Ranks,season0
"Psylocke, Magik, Black Panther",A,57.93%,1.35%,889,All Ranks,season0
"Venom, Peni Parker, Spider Man",A,56.69%,3.08%,"2,032",All Ranks,season0
"Captain America, Thor, Storm",B,55.88%,0.62%,408,All Ranks,season0
"Mister Fantastic, Invisible Woman",A,55.29%,16.79%,"10,460",All Ranks,season0
"Iron Fist, Luna Snow",A,54.97%,13.20%,"8,714",All Ranks,season0
"Wolverine, Hulk",B,52.89%,7.20%,"4,753",All Ranks,season0
"Magneto, Scarlet Witch",B,51.63%,14.45%,"9,536",All Ranks,season0
"Luna Snow, Jeff The Land Shark, Namor",B,51.48%,5.90%,"3,891",All Ranks,season0
"Winter Soldier, Rocket Raccoon, The Punisher",B,50.50%,7.59%,"5,008",All Ranks,season0
"Squirrel Girl, Spider Man",C,49.86%,4.46%,"2,942",All Ranks,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",D,46.95%,2.19%,"1,442",All Ranks,season0
"Cloak & Dagger, Moon Knight",A,45.13%,45.01%,"29,706",All Ranks,season0
"Black Widow, Hawkeye",D,43.82%,2.14%,"1,415",All Ranks,season0
"Adam Warlock, Star Lord, Mantis",S,68.58%,8.67%,"1,903",Bronze,season0
"Hela, Loki, Thor",S,65.55%,6.69%,"1,469",Bronze,season0
"Doctor Strange, Hulk, Iron Man",S,64.49%,7.59%,"1,667",Bronze,season0
"Venom, Peni Parker, Spider Man",A,59.74%,3.83%,842,Bronze,season0
"Captain America, Thor, Storm",A,59.66%,1.06%,233,Bronze,season0
"Mister Fantastic, Invisible Woman",S,58.44%,26.00%,"5,212",Bronze,season0
"Iron Fist, Luna Snow",A,57.04%,18.72%,"4,111",Bronze,season0
"Psylocke, Magik, Black Panther",B,56.45%,2.54%,558,Bronze,season0
"Magneto, Scarlet Witch",A,56.06%,19.61%,"4,306",Bronze,season0
"Luna Snow, Jeff The Land Shark, Namor",A,55.40%,6.20%,"1,361",Bronze,season0
"Wolverine, Hulk",A,54.50%,10.89%,"2,391",Bronze,season0
"Winter Soldier, Rocket Raccoon, The Punisher",B,53.90%,6.54%,"1,436",Bronze,season0
"Squirrel Girl, Spider Man",B,50.67%,9.92%,"2,179",Bronze,season0
"Cloak & Dagger, Moon Knight",S,50.42%,50.42%,"11,074",Bronze,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",D,48.68%,3.11%,682,Bronze,season0
